ランダムタスク
Thread ID: 2272969140
Total: 0.001526

 %self     total     self     wait    child    calls  name
  1.35      0.00     0.00     0.00     0.00       11  Fixnum#to_s
  1.35      0.00     0.00     0.00     0.00        2  Task#get_short_resource_array
  1.35      0.00     0.00     0.00     0.00        1  WCBT#AB
  1.35      0.00     0.00     0.00     0.00        7  Array#size
  1.27      0.00     0.00     0.00     0.00        8  Array#==
  1.27      0.00     0.00     0.00     0.00        5  Object#print_debug
  1.27      0.00     0.00     0.00     0.00       17  Fixnum#+
  1.27      0.00     0.00     0.00     0.00        3  WCBT#partition
  1.11      0.00     0.00     0.00     0.00        2  Task#get_long_resource_array
  1.03      0.00     0.00     0.00     0.00        9  Fixnum#<=>
  1.03      0.00     0.00     0.00     0.00        6  Class#new
  0.95      0.00     0.00     0.00     0.00        3  Enumerable#min
  0.87      0.00     0.00     0.00     0.00        1  WCBT#procList
  0.79      0.00     0.00     0.00     0.00        4  Kernel#respond_to?
  0.71      0.00     0.00     0.00     0.00        6  String#<<
  0.71      0.00     0.00     0.00     0.00        1  WCBT#lowest_priority_task
  0.64      0.00     0.00     0.00     0.00        6  Fixnum#*
  0.64      0.00     0.00     0.00     0.00        4  <Module::Term::ANSIColor>#coloring?
  0.56      0.00     0.00     0.00     0.00        1  WCBT#BB
  0.56      0.00     0.00     0.00     0.00        1  WCBT#LB
  0.56      0.00     0.00     0.00     0.00        6  <Class::Object>#allocate
  0.56      0.00     0.00     0.00     0.00        1  WCBT#show_blocktime_120409
  0.48      0.00     0.00     0.00     0.00        6  Float#to_f
  0.40      0.00     0.00     0.00     0.00        1  WCBT#DB
